key,value,date
Taiwan,2.11564,201601
Taiwan,1.98279,201602
Taiwan,1.6038,201603
Taiwan,1.66391,201604
Taiwan,1.43447,201605
Taiwan,1.2427,201606
Taiwan,1.22001,201607
Taiwan,1.15934,201608
Taiwan,1.25991,201609
Taiwan,1.22845,201610
Taiwan,1.16021,201611
Taiwan,1.34455,201612
Taiwan,1.72319,201701
Taiwan,1.24186,201702
Taiwan,1.12574,201703
Taiwan,1.10596,201704
Taiwan,1.11618,201705
Taiwan,1.10955,201706
Taiwan,1.07775,201707
Taiwan,1.1549,201708
Taiwan,1.16569,201709
Taiwan,1.19341,201710
Taiwan,1.099,201711
Taiwan,1.2489,201712
Hong Kong,9.94903,201601
Hong Kong,7.8963,201602
Hong Kong,9.22282,201603
Hong Kong,9.44309,201604
Hong Kong,8.51827,201605
Hong Kong,9.49995,201606
Hong Kong,10.18089,201607
Hong Kong,9.83646,201608
Hong Kong,11.31209,201609
Hong Kong,14.13717,201610
Hong Kong,10.97209,201611
Hong Kong,11.4214,201612
Hong Kong,10.27931,201701
Hong Kong,9.42923,201702
Hong Kong,9.75181,201703
Hong Kong,9.34192,201704
Hong Kong,9.23066,201705
Hong Kong,9.47579,201706
Hong Kong,7.57122,201707
Hong Kong,7.61797,201708
Hong Kong,5.37782,201709
Hong Kong,6.22112,201710
Hong Kong,6.7953,201711
Hong Kong,9.29806,201712
